origin,destination,count
Palmdale,Palm Springs,1
South Lake Tahoe,Palm Springs,4
Bothell,Palm Springs,4
Lewiston,Palm Springs,16
Indio,Palm Springs,36
Carlsbad,Palm Springs,4
Fort Collins,Palm Springs,9
Malibu,Palm Springs,1
"Sechelt, BC",Palm Springs,1
Vashon,Palm Springs,1
Theodore,Palm Springs,324
Compton,Palm Springs,64
"Colonsay, SK",Palm Springs,1
Sylmar,Palm Springs,36
Orlando,Palm Springs,169
Denver,Palm Springs,9
Algonquin,Palm Springs,1
Perris,Palm Springs,36
Sebastopol,Palm Springs,1
San Marcos,Palm Springs,729
"Parksville, BC",Palm Springs,16
Streamwood,Palm Springs,1
"Comox, BC",Palm Springs,81
"Happy Valley, NL",Palm Springs,1
Lombard,Palm Springs,1
Martinsville,Palm Springs,9
Sioux City,Palm Springs,1
Metairie,Palm Springs,1
Fallbrook,Palm Springs,144
South Yarmouth,Palm Springs,1
Cleveland,Palm Springs,36
Moreno Valley,Palm Springs,1
Burbank,Palm Springs,625
Evanston,Palm Springs,1
Yorba Linda,Palm Springs,1
Overland Park,Palm Springs,1
Marietta,Palm Springs,4
Buffalo Grove,Palm Springs,9
Playa Del Rey,Palm Springs,1
Rancho Santa Margarita,Palm Springs,100
Canton,Palm Springs,1
Pleasanton,Palm Springs,4
Lawndale,Palm Springs,1
Newport,Palm Springs,9
Davis,Palm Springs,1
New Haven,Palm Springs,4
Glendale,Palm Springs,49
"Maple Ridge, BC",Palm Springs,1
"Gibsons, BC",Palm Springs,1
Minneapolis,Palm Springs,1
Morris Plains,Palm Springs,1
Costa Mesa,Palm Springs,1
"Nelson, BC",Palm Springs,1
Elizabethtown,Palm Springs,16
San Dimas,Palm Springs,1
Omaha,Palm Springs,1
Hayward,Palm Springs,1
Agoura Hills,Palm Springs,4
"London, ON",Palm Springs,1
Brea,Palm Springs,4
Brentwood,Palm Springs,441
